text,label
I enjoy being surrounded by people.,extrovert
I often take the lead in group activities.,extrovert
I love networking and meeting professionals.,extrovert
I find it easy to start conversations.,extrovert
I get bored when I’m alone for too long.,extrovert
I thrive in busy and lively environments.,extrovert
I enjoy group discussions and debates.,extrovert
I like to share my thoughts openly with others.,extrovert
I often host parties or gatherings.,extrovert
I feel confident in social situations.,extrovert
I prefer listening to others than talking.,introvert
I feel most creative when I’m alone.,introvert
Crowded places make me feel anxious.,introvert
I often think before I speak.,introvert
I enjoy working independently.,introvert
I need quiet time to think clearly.,introvert
I don’t like being the center of attention.,introvert
I prefer texting over phone calls.,introvert
I find socializing emotionally exhausting.,introvert
I often stay quiet in group conversations.,introvert
I love spontaneous plans and adventures.,extrovert
I enjoy talking to my colleagues during breaks.,extrovert
I prefer to stay home on weekends.,introvert
I feel nervous meeting new people.,introvert
I make new friends wherever I go.,extrovert
I enjoy exploring new places with friends.,extrovert
I get uncomfortable when people talk too much.,introvert
I often spend my free time reading or thinking.,introvert
I like to share my experiences with others.,extrovert
I feel happiest when I’m around friends.,extrovert
I love dancing and going out with friends.,extrovert
I prefer staying home and playing video games.,introvert
I enjoy singing karaoke at parties.,extrovert
I like painting alone in my room.,introvert
I love group sports like football and basketball.,extrovert
I enjoy solo hobbies like reading and sketching.,introvert
Music festivals make me feel alive.,extrovert
I love listening to calm music by myself.,introvert
I like performing on stage.,extrovert
I prefer writing poems in my free time.,introvert
I enjoy cooking for my friends.,extrovert
I like gardening quietly on weekends.,introvert
I often go hiking with my friends.,extrovert
I love taking long walks alone.,introvert
I enjoy trying new restaurants with people.,extrovert
I prefer cooking simple meals at home.,introvert
I love traveling in groups and exploring.,extrovert
I prefer peaceful solo travel.,introvert
I enjoy participating in dance classes.,extrovert
I like binge-watching shows alone.,introvert
I play guitar at parties.,extrovert
I love organizing picnics and outdoor events.,extrovert
I like reading mystery novels quietly.,introvert
I enjoy photography during social events.,extrovert
I prefer drawing in my sketchbook.,introvert
I like volunteering and meeting new people.,extrovert
I love spending hours journaling.,introvert
I enjoy making videos with friends.,extrovert
I prefer listening to podcasts in silence.,introvert
i love my own company,introvert
i hate gettogathers,introvert
i hate to meet new peoples,introvert
I usually think a lot before I speak.,introvert
I love being part of big celebrations.,extrovert
I often spend weekends reading blogs or learning new things.,introvert
I feel more confident in a group than alone.,extrovert
I like working quietly on creative projects.,introvert
I enjoy talking to random people in cafés.,extrovert
I recharge by spending time in silence.,introvert
I get restless when nothing social is happening.,extrovert
I’m happiest when I’m alone with my thoughts.,introvert
I like to share my life openly on social media.,extrovert
I prefer online chats over face-to-face talks.,introvert
I love planning group trips and vacations.,extrovert
I enjoy watching movies alone.,introvert
I like being part of team projects.,extrovert
I find small talk difficult.,introvert
I love loud music and dancing all night.,extrovert
I enjoy quiet activities like puzzles and journaling.,introvert
I love hosting people at my place.,extrovert
I prefer texting instead of calling.,introvert
I feel energized after meeting new people.,extrovert
I like to spend time reflecting on my goals.,introvert
I feel lonely when I’m by myself too long.,extrovert
I enjoy peaceful places like libraries.,introvert
I often organize meetups or hangouts.,extrovert
I prefer calm slow mornings.,introvert
I talk easily even with strangers.,extrovert
I like working from home where it’s quiet.,introvert
I love spontaneous road trips with friends.,extrovert
I often need breaks from social media.,introvert
I enjoy leading conversations in groups.,extrovert
I like doing crafts or building models quietly.,introvert
I feel my best when surrounded by people.,extrovert
I enjoy deep conversations more than group talks.,introvert
I like playing in bands or team games.,extrovert
I don’t enjoy crowded events.,introvert
I love public speaking and presenting ideas.,extrovert
I prefer one-on-one meetups instead of big groups.,introvert
I enjoy outdoor parties and nightlife.,extrovert
I like to listen more than I talk.,introvert
